airport_name,airport_code,city_code,city_name,country_name
Hump Airport,TCZ,TCZ,Tengchong,China
Wanxian Arpt,WXN,WXN,Wanxian,China
Wuyishan Arpt,WUS,WUS,Wuyishan,China
Xiangfan Arpt,XFN,XFN,Xiangfan,China
Hami Airport,HMI,HMI,Hami,China
Guang Yuan Arpt,GYS,GYS,Guang Yuan,China
Fuyang Airport,FUG,FUG,Fuyang,China
Fuoshan Arpt,FUO,FUO,Fuoshan,China
Dongying Airport,DOY,DOY,Dongying,China
Diging Arpt,DIG,DIG,Diqing,China
Datong Arpt,DAT,DAT,Datong,China
Saertu Airport,DQA,DQA,Daqing,China
Hongyuan Airport,AHJ,AHJ,"Hongyuan, Sichuan",China
Wenshan Puzhehei Airport,WNH,WNH,Wenshan,China
Karamay Airport,KRY,KRY,Kelamayi Shi,China
Xichang Qingshan Airport,XIC,XIC,Liangshan,China
Cheng Xian,LNL,LNL,Longnan,China
Jiuhuashan,JUH,JUH,Chizhou,China
Xinzhou,ZYI,ZYI,Zunyi,China
Sanhe,YYA,YYA,Yueyang,China
Luliang,LLV,LLV,Luliang,China
