iata_code,name
B8,Eritrean Air
B9,Iran Airtour Air
BB,Seaborne
BE,Flybe
BF,French Blue
BJ,Nouvelair Tunisi
BL,Jetstar Pacific
BM,British Midland
BQ,Aeromar Air
BU,CAA
BV,Blue Panorama
BY,Thomsonfly
BZ,Blue Bird Airway
C0,Centralwings
C2,CEIBA Intercon
C3,Trade Air Ltd
C5,CommutAir
C6,Canjet
C7,Cinnamon Air
C8,Cronus Airlines
CA,Air China
CB,ScotAirways
CD,Alliance Air
CE,Chalair
CF,City Airline
CG,PNG Air
CH,Bemidji
CJ,BA City Flyer
CL,Lufthansa City
CM,Copa Airlines
CN,Grand China Air
CO,Cobalt Aero
CP,Compass Airlines
CQ,Coastal Aviation
CT,Alitalia City
CU,Cubana Airlines
CV,Cargolux
CY,Charlie Airlines
D2,Severstal
D4,Dart LTD
D5,Dauair
DB,HOP Brit Air
DF,Condor Berlin
DH,Independence Air
DI,Norwegian Air UK
DJ,Air Asia Japan
DN,Senegal Airlines
DO,Discovery Air
DR,Ruili Airlines
DU,Air Liaison
DW,Aero Charter
DX,Danish Air
E2,Eurowings Europe
E3,NewGen Airways
E7,Equaflight
E9,Evelop Airlines
EA,European Express
EB,WAMOS AIR
ED,AirExplore
EH,ANA Wings
EJ,New England
EL,Ellinair S A
EM,Aero Benin
EN,Air Dolomiti
EO,Air Go
EP,Iran Asseman
EQ,TAME Airlines
ER,Serene Air
ES,DHL Intl
EU,Chengdu Airlines
EV,ExpressJet
EX,Santo Domingo
EZ,Sun Air Scandina
F7,Etihad Regional
FB,Bulgaria Air
FC,Fly Corporate
FE,Far Eastern Air
FH,Freebird Airline
FK,Keewatin Air
FM,Shanghai
FN,Regional Air MA
FP,Pelican Airlines
FS,Syphax Airlines
FT,FlyEgypt
FU,Fuzhou Airlines
FV,Rossiya Airlines
FW,IBEX Airlines
G5,China Express
GG,Skylease
GH,Globus LLC
GI,Itek Air
GL,Air Greenland
GM,Germania
GP,APG Airlines
GR,Aurigny Air Svc
GS,Tianjin Airlines
GT,Air Guilin
GU,Aviateca
GV,Grant Aviation
GX,Guangxi Beibu
GY,Colorful Guizhou
GZ,Air Rarotonga
H2,Sky Airline
H4,Aero4M d.o.o
H6,Hageland
H7,Taron-Avia
HB,Asia Atlantic
HD,AirDo
HE,LGW
HG,Niki Luftfahrt
HH,Taban Airlines
HI,Papillon
HK,Skippers Aviatio
HN,Afghan Airlines
HO,Juneyao Airlines
HP,Amapola Flyg AB
HQ,Thomas Cook BE
HR,Hahn Air Lines
HS,Heli Securite
HU,Hainan Airlines
HW,North-Wright
HZ,JSC Aurora
I2,Iberia Express
I3,ATA Airlines
I4,Scott Air LLC
I7,Inter Iles Air
I8,Aboriginal Air
I9,Air Italy
IA,Iraqi Airways
IE,Solomon Airlines
IF,Fly Baghdad Airl
IG,Meridiana Fly
IH,Irtysh Air
II,IBC Airways
IJ,Spring Airlines
IK,Air Kiribati
IM,JSC Aircompany
IO,Intercontinental
IQ,Qazaq Air
IR,Iran Air
IS,Island Air Nantk
IT,Tigerair Taiwan
IV,VVB Aviat. Malta
IW,Wings Air
IY,Yemenia Yemen
J1,One Jet
J3,Northwestern Air
J5,Alaska Seaplane
J6,Jamaica Air
J7,Afrijet
JA,JETSMART SPA
JB,Helijet Intl Inc
JC,Japan Air Commut
JD,Capital Airlines
JE,Mango
JF,Jet Asia Airways
JH,Fuji Dream
JI,San Juan Aviatio
JJ,LATAM Brazil
JK,Spanair
JM,Jambojet
JN,Joon
JO,Royal Wings
JP,Adria Airways
JR,Joy Air
JS,Air Koryo
JU,Air Serbia
JV,Bearskin Airline
JW,Vanilla Air
JY,Intercaribbean
JZ,Jubba Airways
K2,Airlift Alaska
K3,Taquan Air Svc
K5,Silverstone Air
K9,Esen Air
KA,Cathay Dragon
KB,Druk Air
KG,Aerogaviota
KJ,Air Incheon
KK,AtlasGlobal
KN,China United
KO,Alaska Express
KS,PenAir
KT,Kharkiv Airlines
L4,Take Air
L5,LAC
LE,Lugansk Airlines
LF,Corporate Flight
LG,Luxair
LI,Liat Ltd
LJ,Jin Air
LK,Lao Skyway
LN,Libyan Airlines
LP,LATAM Peru
LR,LACSA
LS,Jet2.com
LT,LongJiang
LU,Transporte Aereo
LW,LAW
LY,El Al Israel
LZ,Swiss Global
M0,Aero Mongolia
M2,Mahfooz
M3,North Flying
M4,Mistral Air
M5,Kenmore Air
M8,Skyjet
M9,Motor Sich
MD,Air Madagascar
MI,SilkAir
ML,Air Mediterranee
MM,Peach Aviation
MN,Comair
MO,Calm Air Intl
MP,Martinair
MQ,Envoy Air Inc
MT,Thomas Cook Air
MV,Air Mediterranea
MW,Mokulele Airline
MZ,Amakusa Airlines
N2,Dagestan Air
N4,Trans Air Benin
N5,Nolinor Aviation
N6,Nuevo Continente
N7,Nordic Regional
N8,National Air
N9,Kabo Air
NA,Nesma Airlines
NB,Skypower Express
NE,Nesma Airlines
NF,Air Vanuatu
NG,Aero Contractors
NI,Portugalia Air
NJ,Niger Airways
NL,Shaheen Air Intl
NN,VIM Airlines
NO,Neos
NQ,Air Japan
NR,Al-Naser
NS,Hebei Airlines
NT,Binter Canarias
NU,Japan Trans Air
NV,Air Central
NX,Air Macau
NY,Air Iceland Cnct
O2,Linear Air
O5,Comores Aviation
O6,Avianca Brazil
O7,OzJet
OA,Olympic Air
OC,Oriental Air
OF,Overland Airways
OH,PSA Airlines
OJ,Fly Jamaica Air
OK,Czech Airlines
OM,Mongolian
ON,Nauru Airlines
OO,Skywest
OP,Air Pegasus
OQ,Chongqing Air
OR,TUI fly
OW,Skyward Express
OX,Orient Thai
OY,Andes Lineas
P0,Proflight
P1,Public Charters
P2,AirKenya Express
P5,Aero Republica
P6,Pascan Aviation
P8,Sprintair
P9,Peruvian Airline
PB,Provincial Airl
PE,Altenrhein
PF,Primera Air
PH,Polynesian
PJ,Air Saint-Pierre
PL,Southern Air Cht
PM,Canary Fly
PN,China West Air
PO,Polar Air Cargo
PP,Jet Aviation
PQ,AirAsia
PT,Piedmont Airline
PU,Plus Ultra Linea
PV,Saint Barth
PX,Air Niugini
PZ,LATAM Paraguay
Q0,Quebecair Expres
Q4,Starlink
Q5,Forty Mile Air
Q8,Trans Air Congo
Q9,Wataniya Airways
QA,Cimber A/S
QC,Camair Co
QE,Express Freighte
QJ,Latpass Airlines
QK,Air Canada Jazz
QL,Laser Airlines
QM,Monacair
QO,Origin Pacific
QQ,Alliance Air PTY
QS,Smartwings
QU,Utair Ukraine
QW,Qingdao Airline
QX,Horizon Air
QY,European Air
R2,Orenair
R3,Yakutia
R5,Jordan Aviation
R6,DOT LT
R7,Aserca Air
R9,Camai Air
